season,playerId,playerName,teamCount,teams,N_by_team,fraction_N_by_team,seasonN
2025-26,1629723,John Konchar,2,1610612762|1610612763,1610612762:2899|1610612763:1717,1610612762:0.628033|1610612763:0.371967,4616
2025-26,1630208,Nick Richards,2,1610612741|1610612756,1610612741:1844|1610612756:1021,1610612741:0.643630|1610612756:0.356370,2865
2025-26,1630214,Xavier Tillman,2,1610612738|1610612766,1610612738:432|1610612766:253,1610612738:0.630657|1610612766:0.369343,685
2025-26,1630228,Jonathan Kuminga,2,1610612737|1610612744,1610612737:1482|1610612744:1950,1610612737:0.431818|1610612744:0.568182,3432
2025-26,1630245,Ayo Dosunmu,2,1610612741|1610612750,1610612741:5212|1610612750:2907,1610612741:0.641951|1610612750:0.358049,8119
2025-26,1630249,Vít Krejčí,2,1610612737|1610612757,1610612737:4347|1610612757:1619,1610612737:0.728629|1610612757:0.271371,5966
2025-26,1630526,Jeremiah Robinson-Earl,2,1610612742|1610612754,1610612742:274|1610612754:1280,1610612742:0.176319|1610612754:0.823681,1554
2025-26,1630534,Ochai Agbaji,2,1610612751|1610612761,1610612751:1304|1610612761:2670,1610612751:0.328133|1610612761:0.671867,3974
2025-26,1630543,Isaiah Jackson,2,1610612746|1610612754,1610612746:1132|1610612754:2682,1610612746:0.296801|1610612754:0.703199,3814
2025-26,1630557,Corey Kispert,2,1610612737|1610612764,1610612737:3007|1610612764:1581,1610612737:0.655405|1610612764:0.344595,4588
2025-26,1630560,Cam Thomas,2,1610612749|1610612751,1610612749:1178|1610612751:2264,1610612749:0.342243|1610612751:0.657757,3442
2025-26,1630625,Dalano Banton,2,1610612738|1610612746,1610612738:221|1610612746:37,1610612738:0.856589|1610612746:0.143411,258
2025-26,1630631,Jose Alvarado,2,1610612740|1610612752,1610612740:3719|1610612752:1950,1610612740:0.656024|1610612752:0.343976,5669
2025-26,1630644,Mac McClung,2,1610612741|1610612754,1610612741:445|1610612754:145,1610612741:0.754237|1610612754:0.245763,590
2025-26,1630702,Jaden Hardy,2,1610612742|1610612764,1610612742:1857|1610612764:2029,1610612742:0.477869|1610612764:0.522131,3886
2025-26,1631093,Jaden Ivey,2,1610612741|1610612765,1610612741:484|1610612765:2412,1610612741:0.167127|1610612765:0.832873,2896
2025-26,1631097,Bennedict Mathurin,2,1610612746|1610612754,1610612746:2998|1610612754:3779,1610612746:0.442379|1610612754:0.557621,6777
2025-26,1631110,Jeremy Sochan,2,1610612752|1610612759,1610612752:451|1610612759:1464,1610612752:0.235509|1610612759:0.764491,1915
2025-26,1631116,Patrick Baldwin Jr.,2,1610612746|1610612758,1610612746:49|1610612758:361,1610612746:0.119512|1610612758:0.880488,410
2025-26,1631132,Christian Koloko,3,1610612737|1610612747|1610612763,1610612737:683|1610612747:25|1610612763:836,1610612737:0.442358|1610612747:0.016192|1610612763:0.541451,1544
2025-26,1631159,Leonard Miller,2,1610612741|1610612750,1610612741:2680|1610612750:406,1610612741:0.868438|1610612750:0.131562,3086
2025-26,1631165,Keon Ellis,2,1610612739|1610612758,1610612739:2972|1610612758:3033,1610612739:0.494921|1610612758:0.505079,6005
2025-26,1631169,Josh Minott,2,1610612738|1610612751,1610612738:2074|1610612751:1291,1610612738:0.616345|1610612751:0.383655,3365
2025-26,1631172,Ousmane Dieng,2,1610612749|1610612760,1610612749:3319|1610612760:1219,1610612749:0.731379|1610612760:0.268621,4538
2025-26,1631207,Dalen Terry,2,1610612741|1610612755,1610612741:1567|1610612755:732,1610612741:0.681601|1610612755:0.318399,2299
2025-26,1631213,Tyrese Martin,2,1610612751|1610612755,1610612751:2729|1610612755:324,1610612751:0.893875|1610612755:0.106125,3053
2025-26,1631218,Trayce Jackson-Davis,2,1610612744|1610612761,1610612744:1763|1610612761:363,1610612744:0.829257|1610612761:0.170743,2126
2025-26,1631246,Vince Williams Jr.,2,1610612762|1610612763,1610612762:439|1610612763:2905,1610612762:0.131280|1610612763:0.868720,3344
2025-26,1641707,Taylor Hendricks,2,1610612762|1610612763,1610612762:2017|1610612763:2621,1610612762:0.434886|1610612763:0.565114,4638
2025-26,1641712,Rayan Rupert,2,1610612757|1610612763,1610612757:2362|1610612763:2139,1610612757:0.524772|1610612763:0.475228,4501
2025-26,1641738,Kobe Brown,2,1610612746|1610612754,1610612746:1166|1610612754:2801,1610612746:0.293925|1610612754:0.706075,3967
2025-26,1641763,Julian Phillips,2,1610612741|1610612750,1610612741:1349|1610612750:361,1610612741:0.788889|1610612750:0.211111,1710
2025-26,1641790,PJ Hall,2,1610612763|1610612766,1610612763:123|1610612766:765,1610612763:0.138514|1610612766:0.861486,888
2025-26,1642265,Rob Dillingham,2,1610612741|1610612750,1610612741:2805|1610612750:1476,1610612741:0.655221|1610612750:0.344779,4281
2025-26,1642272,Jared McCain,2,1610612755|1610612760,1610612755:2619|1610612760:2159,1610612755:0.548137|1610612760:0.451863,4778
2025-26,1642354,KJ Simpson,2,1610612743|1610612766,1610612743:140|1610612766:911,1610612743:0.133206|1610612766:0.866794,1051
2025-26,1642358,AJ Johnson,2,1610612742|1610612764,1610612742:969|1610612764:904,1610612742:0.517352|1610612764:0.482648,1873
2025-26,1642383,Walter Clayton Jr.,2,1610612762|1610612763,1610612762:3326|1610612763:2536,1610612762:0.567383|1610612763:0.432617,5862
2025-26,1642403,Isaac Jones,2,1610612758|1610612765,1610612758:64|1610612765:76,1610612758:0.457143|1610612765:0.542857,140
2025-26,1642434,Riley Minix,2,1610612739|1610612759,1610612739:216|1610612759:39,1610612739:0.847059|1610612759:0.152941,255
2025-26,1642484,RayJ Dennis,3,1610612737|1610612746|1610612754,1610612737:147|1610612746:17|1610612754:714,1610612737:0.167426|1610612746:0.019362|1610612754:0.813212,878
2025-26,1642933,Keshon Gilbert,2,1610612737|1610612764,1610612737:109|1610612764:199,1610612737:0.353896|1610612764:0.646104,308
2025-26,1642959,Chris Youngblood,2,1610612757|1610612760,1610612757:42|1610612760:662,1610612757:0.059659|1610612760:0.940341,704
2025-26,201935,James Harden,2,1610612739|1610612746,1610612739:3595|1610612746:6283,1610612739:0.363940|1610612746:0.636060,9878
2025-26,202696,Nikola Vučević,2,1610612738|1610612741,1610612738:1347|1610612741:6291,1610612738:0.176355|1610612741:0.823645,7638
2025-26,203114,Khris Middleton,2,1610612742|1610612764,1610612742:2589|1610612764:3563,1610612742:0.420839|1610612764:0.579161,6152
2025-26,203468,CJ McCollum,2,1610612737|1610612764,1610612737:4947|1610612764:4689,1610612737:0.513387|1610612764:0.486613,9636
2025-26,203471,Dennis Schröder,2,1610612739|1610612758,1610612739:2643|1610612758:4469,1610612739:0.371625|1610612758:0.628375,7112
2025-26,203486,Mason Plumlee,2,1610612759|1610612766,1610612759:205|1610612766:510,1610612759:0.286713|1610612766:0.713287,715
2025-26,203937,Kyle Anderson,3,1610612750|1610612762|1610612763,1610612750:1543|1610612762:1696|1610612763:411,1610612750:0.422740|1610612762:0.464658|1610612763:0.112603,3650
2025-26,204001,Kristaps Porziņģis,2,1610612737|1610612744,1610612737:1805|1610612744:1530,1610612737:0.541229|1610612744:0.458771,3335
