season,playerId,playerName,teamCount,exposureResidual,rawValueResidual,exposureOk,rawValueOk,finalTeamMetadataUsed
2025-26,1631132,Christian Koloko,3,0,1.4210854715202004e-14,true,true,NO
2025-26,1631159,Leonard Miller,2,0,3.197442310920451e-14,true,true,NO
2025-26,1631165,Keon Ellis,2,0,7.105427357601002e-14,true,true,NO
2025-26,1631169,Josh Minott,2,0,3.552713678800501e-14,true,true,NO
2025-26,1631172,Ousmane Dieng,2,0,2.842170943040401e-14,true,true,NO
2025-26,1631207,Dalen Terry,2,0,6.217248937900877e-15,true,true,NO
2025-26,1631213,Tyrese Martin,2,0,1.4210854715202004e-14,true,true,NO
2025-26,1631218,Trayce Jackson-Davis,2,0,8.881784197001252e-16,true,true,NO
2025-26,1631246,Vince Williams Jr.,2,0,2.1316282072803006e-14,true,true,NO
2025-26,1641707,Taylor Hendricks,2,0,1.0658141036401503e-14,true,true,NO
2025-26,1641712,Rayan Rupert,2,0,6.394884621840902e-14,true,true,NO
2025-26,1641738,Kobe Brown,2,0,4.973799150320701e-14,true,true,NO
2025-26,1641763,Julian Phillips,2,0,1.7763568394002505e-15,true,true,NO
2025-26,1641790,PJ Hall,2,0,7.105427357601002e-15,true,true,NO
2025-26,1642265,Rob Dillingham,2,0,2.842170943040401e-14,true,true,NO
2025-26,1642272,Jared McCain,2,0,1.7763568394002505e-14,true,true,NO
2025-26,1642354,KJ Simpson,2,0,7.105427357601002e-15,true,true,NO
2025-26,1642358,AJ Johnson,2,0,0,true,true,NO
2025-26,1642383,Walter Clayton Jr.,2,0,9.947598300641403e-14,true,true,NO
2025-26,1642403,Isaac Jones,2,0,2.6645352591003757e-15,true,true,NO
2025-26,1642434,Riley Minix,2,0,0,true,true,NO
2025-26,1642484,RayJ Dennis,3,0,1.7763568394002505e-15,true,true,NO
2025-26,1642933,Keshon Gilbert,2,0,0,true,true,NO
2025-26,1642959,Chris Youngblood,2,0,1.7763568394002505e-15,true,true,NO
2025-26,201935,James Harden,2,0,7.105427357601002e-15,true,true,NO
2025-26,202696,Nikola Vučević,2,0,1.7763568394002505e-14,true,true,NO
2025-26,203114,Khris Middleton,2,0,4.263256414560601e-14,true,true,NO
2025-26,203468,CJ McCollum,2,0,7.105427357601002e-15,true,true,NO
2025-26,203471,Dennis Schröder,2,0,9.947598300641403e-14,true,true,NO
2025-26,203486,Mason Plumlee,2,0,4.440892098500626e-16,true,true,NO
2025-26,203937,Kyle Anderson,3,0,6.217248937900877e-15,true,true,NO
2025-26,204001,Kristaps Porziņģis,2,0,6.661338147750939e-15,true,true,NO
