season,playerId,player,teamId,drblP,drblLn,drblB,rawAbilityRate,fusedRateRaw,fusionDelta,posteriorAbilityRate,drbl100,possessions
2024-25,1627827,Dorian Finney-Smith,1610612751,0.28,5.04,-0.09,0.291,0.42,0.129,0.4087,0.4087,7259
2024-25,1630534,Ochai Agbaji,1610612761,1.01,-0.51,0.16,1.0336,0.41,-0.6236000000000002,0.3991,0.3991,7355
2024-25,201939,Stephen Curry,1610612744,1.14,0.29,0.15,1.1632,0.26,-0.9032,0.2546,0.2546,9434
2024-25,1630198,Isaiah Joe,1610612760,1.24,1.61,0.1,1.2799,0.48,-0.7999,0.466,0.466,6664
2024-25,202681,Kyrie Irving,1610612742,1.05,1.9,0.05,1.0784,0.38,-0.6984,0.3701,0.3701,7454
2024-25,1630174,Aaron Nesmith,1610612754,1.89,2.12,-0.18,1.9777,0.82,-1.1577000000000002,0.7848,0.7848,4464
2024-25,1642419,Jamison Battle,1610612761,0.9,-2.2,0.14,0.9463,0.83,-0.11630000000000007,0.7934,0.7934,4336
2024-25,1629012,Collin Sexton,1610612762,0.52,1.96,-0.18,0.5341,0.37,-0.16410000000000002,0.3601,0.3601,7276
2024-25,1629599,Amir Coffey,1610612746,0.43,-2.56,-0.28,0.4438,0.38,-0.06379999999999997,0.3696,0.3696,7136
2024-25,1628381,John Collins,1610612762,1.28,3.39,-0.28,1.3288,0.63,-0.6988,0.6063,0.6063,5113
2024-25,1631117,Walker Kessler,1610612762,0.53,0.16,-0.27,0.5495,0.36,-0.1895,0.3503,0.3503,7243
2024-25,1630215,Jared Butler,1610612764,0.68,1.2,0.22,0.7148,0.76,0.04520000000000002,0.7267,0.7267,4371
2024-25,1629637,Jaxson Hayes,1610612747,0.96,2,-0.52,0.9998,0.7,-0.29980000000000007,0.6704,0.6704,4526
2024-25,1627936,Alex Caruso,1610612760,1.43,1.94,0.23,1.4982,0.76,-0.7382,0.726,0.726,4268
2024-25,1630573,Sam Hauser,1610612738,1.09,1.36,-0.13,1.1216,0.44,-0.6816,0.4259,0.4259,6035
2024-25,1641717,Cason Wallace,1610612760,0.74,-0.03,0.19,0.7636,0.28,-0.4835999999999999,0.2729,0.2729,7701
2024-25,1629006,Josh Okogie,1610612756,1.93,3.01,-0.21,2.081,1.41,-0.671,1.3065,1.3065,2524
2024-25,1631108,Max Christie,1610612747,-0.21,-0.16,-0.14,-0.2143,0.2,0.4143,0.1955,0.1955,8740
2024-25,1629018,Gary Trent Jr.,1610612749,0.8,-1.82,-0.07,0.818,0.25,-0.568,0.2437,0.2437,7728
2024-25,1628973,Jalen Brunson,1610612752,0.52,0.04,0.06,0.5316,0.16,-0.37159999999999993,0.1566,0.1566,9338
2024-25,1629634,Brandon Clarke,1610612763,1.18,1.18,-0.06,1.225,0.48,-0.7450000000000001,0.4625,0.4625,5288
2024-25,1628404,Josh Hart,1610612752,0.06,-0.88,0.05,0.0585,0.07,0.011500000000000003,0.0688,0.0688,11694
2024-25,1626220,Royce O'Neale,1610612756,0.19,0.84,0.21,0.195,0.26,0.065,0.2532,0.2532,7432
2024-25,204001,Kristaps Porziņģis,1610612738,1.25,-2.33,-0.33,1.3021,0.51,-0.7921,0.4905,0.4905,5035
2024-25,203932,Aaron Gordon,1610612743,0.91,0.06,-0.19,0.9402,0.38,-0.5602,0.3677,0.3677,5970
2024-25,1629627,Zion Williamson,1610612740,1.98,3.47,-0.07,2.0876,0.8,-1.2876,0.7584,0.7584,3647
2024-25,1629026,Kenrich Williams,1610612760,0.57,1.19,-0.07,0.5963,0.56,-0.0363,0.5368,0.5368,4632
2024-25,1629130,Duncan Robinson,1610612748,0.55,1.61,0.16,0.5663,0.26,-0.3063,0.2529,0.2529,7165
2024-25,1628415,Dillon Brooks,1610612745,0.79,0.43,0.05,0.809,0.13,-0.679,0.1273,0.1273,9518
2024-25,1630167,Obi Toppin,1610612754,0.74,-2.74,0.01,0.7606,0.32,-0.44060000000000005,0.3103,0.3103,6381
2024-25,1629029,Luka Dončić,1610612742,0.79,1.71,-0.06,0.8165,0.24,-0.5765,0.2337,0.2337,7368
2024-25,1631217,Moussa Diabaté,1610612766,0.8,2.12,-0.5,0.8369,0.5,-0.3369,0.4804,0.4804,4891
2024-25,1630182,Josh Green,1610612766,-0.01,-0.07,-0.17,-0.0145,0.21,0.2245,0.2047,0.2047,7785
2024-25,1631133,Jabari Walker,1610612757,1.7,2.41,-0.33,1.8049,0.93,-0.8748999999999999,0.8743,0.8743,3140
2024-25,1629639,Tyler Herro,1610612748,0.68,0.25,0.07,0.6898,0.07,-0.6197999999999999,0.0687,0.0687,10901
2024-25,1630572,Sandro Mamukelashvili,1610612759,1.79,1.93,-0.07,1.922,1.12,-0.8019999999999998,1.0422,1.0422,2680
2024-25,1629640,Keldon Johnson,1610612759,0.62,-3.19,-0.19,0.6356,0.21,-0.4256000000000001,0.2045,0.2045,7505
2024-25,1629656,Quentin Grimes,1610612742,0.23,-1.09,-0.1,0.2307,0.16,-0.07069999999999999,0.1562,0.1562,8263
2024-25,1630598,Aaron Wiggins,1610612760,0.35,0.38,0.04,0.3632,0.21,-0.15320000000000003,0.2043,0.2043,7221
2024-25,1628379,Luke Kennard,1610612763,0.28,1.17,0.09,0.2911,0.27,-0.021100000000000008,0.2617,0.2617,6333
2024-25,1630577,Julian Champagnie,1610612759,0.27,-0.57,0,0.2792,0.16,-0.1192,0.1561,0.1561,7917
2024-25,202699,Tobias Harris,1610612765,0.55,5.17,0.01,0.5639,0.09,-0.4739,0.0881,0.0881,9425
2024-25,203952,Andrew Wiggins,1610612744,0.47,-2.61,-0.15,0.4804,0.17,-0.3104,0.1657,0.1657,7631
2024-25,1641708,Amen Thompson,1610612745,0.72,0.97,-0.08,0.7403,0.1,-0.6403,0.0978,0.0978,9080
2024-25,203081,Damian Lillard,1610612749,0.75,-1.42,-0.11,0.7697,0.12,-0.6497,0.1172,0.1172,8516
2024-25,1627751,Jakob Pöltl,1610612761,1.02,2.25,0.15,1.0462,0.19,-0.8562000000000001,0.1848,0.1848,7060
2024-25,1628418,Thomas Bryant,1610612748,0.07,1.23,0.07,0.0755,0.56,0.48450000000000004,0.5326,0.5326,3895
2024-25,1627777,Georges Niang,1610612739,-0.28,-1.53,-0.02,-0.2891,0.17,0.45910000000000006,0.1654,0.1654,7167
2024-25,1630231,KJ Martin,1610612755,0.18,1.7,-0.24,0.1849,0.55,0.36510000000000004,0.5228,0.5228,3840
2024-25,1626172,Kevon Looney,1610612744,0.63,0.55,-0.18,0.6589,0.41,-0.24890000000000007,0.3929,0.3929,4598
2024-25,1629023,P.J. Washington,1610612742,0.09,0.95,-0.14,0.0883,0.13,0.0417,0.1267,0.1267,7641
2024-25,1630527,Brandon Boston Jr.,1610612740,0.24,1.09,-0.13,0.2554,0.4823,0.2269,0.4595,0.4595,4038
2024-25,1630631,Jose Alvarado,1610612740,0.02,0.77,0.39,0.0192,0.26,0.24080000000000001,0.2511,0.2511,5672
2024-25,1630241,Sam Merrill,1610612739,0.55,1.04,0.09,0.5667,0.24,-0.3267,0.232,0.232,5801
2024-25,1630188,Jalen Smith,1610612741,0.52,1.94,-0.09,0.5442,0.44,-0.10420000000000001,0.4198,0.4198,4157
2024-25,1630224,Jalen Green,1610612745,0.25,-1.98,0.03,0.2529,0,-0.2529,0,0,10969
2024-25,1626166,Cameron Payne,1610612752,0.29,1.88,0.44,0.305,0.38,0.07500000000000001,0.3636,0.3636,4428
2024-25,1630171,Isaac Okoro,1610612739,0.73,2.13,-0.15,0.7631,0.39,-0.3731,0.3728,0.3728,4345
2024-25,1642276,Kel'el Ware,1610612748,0.34,0.26,0.03,0.349,0.23,-0.11899999999999997,0.2222,0.2222,5710
2024-25,1628374,Lauri Markkanen,1610612762,0.54,-0.34,-0.2,0.5565,0.19,-0.3665,0.184,0.184,6152
2024-25,1630559,Austin Reaves,1610612747,0.29,0.06,-0.1,0.2929,0,-0.2929,0,0,10582
2024-25,202692,Alec Burks,1610612748,1.21,2.19,-0.04,1.2808,0.57,-0.7108,0.5381,0.5381,3377
2024-25,1629684,Grant Williams,1610612766,0.21,3.25,-0.39,0.2298,1.2207,0.9908999999999999,1.1076,1.1076,1958
2024-25,1630166,Deni Avdija,1610612757,0.74,0.75,-0.34,0.7592,0.04,-0.7192,0.0391,0.0391,8956
2024-25,1629652,Luguentz Dort,1610612760,0.45,-1.44,0.13,0.4646,0.05,-0.4146,0.0489,0.0489,8626
2024-25,1630217,Desmond Bane,1610612763,0.64,2.45,0.15,0.6535,0.02,-0.6335,0.0196,0.0196,9508
2024-25,1641726,Dereck Lively II,1610612742,1.07,3.6,-0.07,1.1322,0.53,-0.6022000000000001,0.501,0.501,3451
2024-25,1630194,Paul Reed,1610612765,0.95,1.91,-0.06,1.0525,1.29,0.23750000000000004,1.1627,1.1627,1827
2024-25,1626164,Devin Booker,1610612756,-0.17,0.35,-0.18,-0.1727,-0.03,0.1427,-0.0295,-0.0295,11430
2024-25,201572,Brook Lopez,1610612749,0.39,1.6,0.04,0.3988,-0.01,-0.4088,-0.0098,-0.0098,10423
2024-25,1627750,Jamal Murray,1610612743,0.46,1.08,0.22,0.4723,0,-0.4723,0,0,10017
2024-25,1628960,Grayson Allen,1610612756,0.16,-0.16,-0.12,0.1689,0.15,-0.0189,0.1454,0.1454,6277
2024-25,1628988,Aaron Holiday,1610612745,0.63,-0.11,0.1,0.6644,0.48,-0.1844,0.4523,0.4523,3271
2024-25,1641740,Jaylen Clark,1610612750,1.74,-0.58,-0.38,1.9022,0.86,-1.0421999999999998,0.787,0.787,2157
2024-25,1629638,Nickeil Alexander-Walker,1610612750,-0.05,1.38,-0.15,-0.0528,0.01,0.0628,0.0098,0.0098,8480
2024-25,1631204,Marcus Sasser,1610612765,0.64,1.76,-0.01,0.6753,0.41,-0.26530000000000004,0.3875,0.3875,3449
2024-25,1629731,Dean Wade,1610612739,0.11,2.02,-0.1,0.1093,0.17,0.06070000000000002,0.1637,0.1637,5213
2024-25,1631207,Dalen Terry,1610612741,-0.07,-4.71,-0.23,-0.0721,0.26,0.3321,0.2484,0.2484,4286
2024-25,1641744,Zach Edey,1610612763,0.21,-0.37,-0.03,0.2151,0.1,-0.11510000000000001,0.0968,0.0968,6097
2024-25,1630643,Jay Huff,1610612763,1.22,-2.01,0.04,1.296,0.44,-0.8560000000000001,0.414,0.414,3184
2024-25,1631260,AJ Green,1610612749,0.45,0.57,0.03,0.4584,0.04,-0.4184,0.0388,0.0388,6755
2024-25,1630540,Miles McBride,1610612752,0.27,2.98,0.17,0.2766,0.05,-0.22660000000000002,0.0485,0.0485,6500
2024-25,203939,Dwight Powell,1610612742,0.07,-0.07,-0.51,0.0787,0.69,0.6113,0.6326,0.6326,2206
2024-25,1629312,Haywood Highsmith,1610612748,-0.03,0.77,0.02,-0.0352,0.01,0.045200000000000004,0.0097,0.0097,7260
2024-25,1630548,Johnny Juzang,1610612762,0.39,-1.19,-0.08,0.4094,0.11,-0.2994,0.106,0.106,5273
2024-25,203484,Kentavious Caldwell-Pope,1610612753,0.47,-0.04,-0.09,0.4788,-0.05,-0.5288,-0.0489,-0.0489,9099
2024-25,1628371,Jonathan Isaac,1610612753,0.25,-1.17,-0.09,0.2586,0.18,-0.0786,0.1721,0.1721,4369
2024-25,1641764,Brandin Podziemski,1610612744,0.5,2.97,-0.05,0.5095,0.01,-0.49949999999999994,0.0097,0.0097,6993
2024-25,1630228,Jonathan Kuminga,1610612744,0.04,0.35,-0.44,0.037,0.15,0.11299999999999999,0.1438,0.1438,4641
2024-25,1642272,Jared McCain,1610612755,0.75,0.63,-0.07,0.8158,0.5426,-0.2732,0.5007,0.5007,2392
2024-25,1630570,Trendon Watford,1610612751,-0.29,-0.27,-0.27,-0.3031,0.26,0.5630999999999999,0.2463,0.2463,3596
2024-25,1627780,Gary Payton II,1610612744,1.34,0.9,-0.03,1.4066,0.23,-1.1766,0.2185,0.2185,3791
2024-25,1627747,Caris LeVert,1610612739,0.25,1.19,-0.07,0.2541,0.01,-0.24409999999999998,0.0097,0.0097,6779
2024-25,1642024,Alex Reese,1610612760,0.78,4.09,-0.14,0.9317,1.8276,0.8958999999999999,1.5228,1.5228,999
2024-25,203991,Clint Capela,1610612737,0,-1.38,0.05,-0.0012,0.11,0.11120000000000001,0.1056,0.1056,4846
2024-25,1627832,Fred VanVleet,1610612745,0.43,0.99,0.25,0.4368,-0.05,-0.4868,-0.0488,-0.0488,8397
2024-25,1629674,Neemias Queta,1610612738,0.13,-0.06,-0.5,0.1357,0.28,0.14430000000000004,0.2641,0.2641,3323
2024-25,201950,Jrue Holiday,1610612738,0.03,-0.91,-0.13,0.028,-0.04,-0.068,-0.039,-0.039,7860
2024-25,1631110,Jeremy Sochan,1610612759,0.03,0.71,-0.24,0.0351,0.04,0.004900000000000002,0.0386,0.0386,5657
2024-25,1628368,De'Aaron Fox,1610612758,0.03,1.02,0.05,0.034,-0.08,-0.114,-0.0783,-0.0783,9335
2024-25,1642271,Kyle Filipowski,1610612762,0.1,-0.31,-0.28,0.1047,0,-0.1047,0,0,6432
2024-25,1641787,Tosan Evbuomwan,1610612751,0.32,1.47,-0.3,0.3473,0.37,0.022699999999999998,0.3441,0.3441,2656
2024-25,1630533,Ziaire Williams,1610612751,-0.12,-2.02,-0.21,-0.1248,0,0.1248,0,0,6216
2024-25,201143,Al Horford,1610612738,0.24,1.43,-0.12,0.2436,-0.02,-0.2636,-0.0194,-0.0194,6682
2024-25,1629673,Jordan Poole,1610612764,0.41,-0.82,-0.02,0.4191,-0.07,-0.4891,-0.0684,-0.0684,8417
2024-25,1630696,Dru Smith,1610612748,1.58,1.88,-0.05,1.8654,1.3691,-0.49629999999999996,1.1571,1.1571,1092
2024-25,1626158,Richaun Holmes,1610612764,1.22,1.34,-0.38,1.3308,0.46,-0.8708,0.4226,0.4226,2259
2024-25,1641824,Matas Buzelis,1610612741,0.09,-0.47,-0.11,0.0973,-0.03,-0.1273,-0.0291,-0.0291,6630
2024-25,1627752,Taurean Prince,1610612749,-0.11,-1.63,0.02,-0.1132,-0.09,0.0232,-0.088,-0.088,8916
2024-25,1630539,Kai Jones,1610612746,2.56,0.1,-0.06,2.8355,0.59,-2.2455000000000003,0.5333,0.5333,1881
2024-25,1630264,Anthony Gill,1610612764,1.1,1.22,-0.62,1.2355,0.72,-0.5155000000000001,0.6411,0.6411,1626
2024-25,1630625,Dalano Banton,1610612757,-0.78,2.36,0.05,-0.8123,0.05,0.8623000000000001,0.0479,0.0479,4609
2024-25,201145,Jeff Green,1610612745,1.07,-2.89,-0.29,1.2011,0.67,-0.5311,0.5966,0.5966,1626
2024-25,1630549,Day'Ron Sharpe,1610612751,0.72,2.82,0.05,0.7552,0.14,-0.6152,0.1325,0.1325,3558
2024-25,203937,Kyle Anderson,1610612744,0.23,-1.84,0.17,0.2424,0.08,-0.1624,0.0763,0.0763,4127
2024-25,1628998,Cody Martin,1610612766,-0.1,2.91,-0.16,-0.1075,0.03,0.1375,0.0288,0.0288,4817
2024-25,1631230,Dominick Barlow,1610612737,0.7,0.67,-0.18,0.787,0.67,-0.11699999999999999,0.5956,0.5956,1602
2024-25,1641796,Pelle Larsson,1610612748,0.03,0.69,-0.23,0.0329,0.2,0.16710000000000003,0.1878,0.1878,3071
2024-25,1629726,Garrison Mathews,1610612737,0.41,-1.01,-0.24,0.4307,0.14,-0.2907,0.1324,0.1324,3507
2024-25,203903,Jordan Clarkson,1610612762,-0.12,-1.17,-0.09,-0.1304,0.08,0.21039999999999998,0.0762,0.0762,4009
2024-25,1629750,Javonte Green,1610612740,-0.21,1.01,-0.16,-0.2167,0,0.2167,0,0,5154
2024-25,1629057,Robert Williams III,1610612757,1.04,0.69,0.15,1.1774,0.7331,-0.44430000000000003,0.6446,0.6446,1456
2024-25,1631131,Oscar Tshiebwe,1610612762,1.86,2.43,-0.57,2.2036,1.1,-1.1035999999999997,0.9299,0.9299,1093
2024-25,1630591,Jalen Suggs,1610612753,-0.39,0.56,0.1,-0.4138,0.0585,0.4723,0.0557,0.0557,4056
2024-25,1631096,Chet Holmgren,1610612760,0.46,2.81,-0.09,0.4821,0.09,-0.3921,0.0854,0.0854,3696
2024-25,1630557,Corey Kispert,1610612764,0.09,1.14,-0.1,0.0922,-0.07,-0.1622,-0.0679,-0.0679,6614
2024-25,1631221,Collin Gillespie,1610612756,0.7,-0.14,0.27,0.7776,0.46,-0.31759999999999994,0.4151,0.4151,1847
2024-25,1629680,Matisse Thybulle,1610612757,1.77,0,0.08,2.0422,0.7778,-1.2643999999999997,0.6752,0.6752,1316
