season,band,player,P400,PFull,LN400,LNFull,B400,BFull,fused400,fusedFull,posterior400,posteriorFull,rank400,rankFull,fusionDelta,posteriorDelta
2025-26,top25_full,Donovan Mitchell,1.81,1.57,0.91,2.87,0.23,-0.04,1.01,0.81,0.9601,0.794,14,24,-0.7929999999999999,-0.016000000000000014
2025-26,top25_full,Luka Garza,0.81,1.16,-2.23,0.08,0.27,0.13,0.17,0.81,0.1435,0.7762,176,25,-0.39949999999999997,-0.03380000000000005
2025-26,largest_rise,Garrison Mathews,0.53,1.43,0.87,1.03,0,0.16,-0.66,1.0311,-0.5182,0.8313,389,23,-0.7438,-0.19979999999999987
2025-26,largest_rise,John Collins,-0.2,0.71,0.16,-0.57,-0.12,-0.19,-0.59,0.4,-0.5526,0.3897,404,86,-0.3257,-0.010300000000000031
2025-26,largest_rise,Landry Shamet,1,1.01,-2.14,0.57,0.03,-0.12,-0.3582,0.81,-0.3126,0.7779,342,26,-0.24099999999999988,-0.03210000000000002
2025-26,largest_rise,Sam Hauser,0.02,0.83,0.25,1.49,0.11,-0.2,-0.81,0.18,-0.7484,0.1756,442,141,-0.6718,-0.004399999999999987
2025-26,largest_rise,Derrick Jones Jr.,0.48,0.53,-2.04,0.87,0.08,-0.1,-0.5374,0.41,-0.4674,0.3957,379,84,-0.13479999999999998,-0.01429999999999998
2025-26,largest_rise,Gui Santos,-1.66,0.21,-2.05,1.03,-0.06,0.05,-1.47,0.09,-1.187,0.087,480,195,-0.1279,-0.0030000000000000027
2025-26,largest_rise,Day'Ron Sharpe,-0.23,0.88,0.77,0.78,0.12,0.12,-0.41,0.43,-0.3647,0.4124,357,82,-0.4825,-0.017600000000000005
2025-26,largest_rise,Desmond Bane,-0.2,1.13,0.79,1.46,-0.09,-0.17,-0.41,0.35,-0.389,0.3439,364,96,-0.7971,-0.006099999999999994
2025-26,largest_rise,Justin Champagnie,-0.76,1.01,-2.47,-0.43,-0.03,-0.12,-0.76,0.12,-0.6625,0.116,427,175,-0.9289999999999999,-0.00399999999999999
2025-26,largest_rise,Naz Reid,-0.13,0.19,-2.7,0.82,-0.01,-0.21,-0.57,0.18,-0.5352,0.1759,393,144,-0.00990000000000002,-0.0040999999999999925
2025-26,largest_rise,Julian Strawther,-1.85,0.13,-1.31,0.79,-0.04,-0.21,-1.33,0.06,-0.8272,0.0569,455,210,-0.0796,-0.0030999999999999986
2025-26,largest_rise,Will Riley,-1.1,-0.36,0.25,-1.98,-0.26,-0.15,-0.42,0.23,-0.3439,0.2234,353,130,0.5995,-0.0066000000000000225
2025-26,largest_rise,Mohamed Diawara,-1.77,-0.13,-0.52,-0.48,-0.22,-0.25,-0.65,0.17,-0.3847,0.1574,361,156,0.3076,-0.0126
2025-26,largest_rise,Malaki Branham,0.01,1.52,0.19,1.53,-0.15,-0.08,0.05,1.2071,0.0323,1.0217,216,14,-0.5897999999999999,-0.1854
2025-26,largest_rise,Jaren Jackson Jr.,0.31,0.87,-2.86,-0.48,0.09,-0.05,-0.31,0.1826,-0.2912,0.1767,334,142,-0.7119,-0.005900000000000016
2025-26,largest_fall,Keegan Murray,0.26,-1,1.21,1.1,0,-0.37,0.71,-0.78,0.6432,-0.7365,44,496,0.27859999999999996,0.04349999999999998
