season,playerId,playerName,N,ApproachBAttributedValue,rawAbilityRate,validatedDRBL100,R1Points,R1WinEquivalents,r1PointsPerWin
2023-24,1629630,Ja Morant,1320,8.179060048888429,0.6196,0.28,8.179060048888429,0.21816258945577774,37.490662671779255
2023-24,1630207,Nate Hinton,333,5.3704287538457,1.6127,0.28,5.3704287538457,0.14324710130792753,37.490662671779255
2023-24,1631466,Nate Williams,565,5.8258326197715125,1.0311,0.27,5.8258326197715125,0.15539422897842917,37.490662671779255
2023-24,1630322,Lindy Waters III,1083,7.154773138119933,0.6606,0.27,7.154773138119933,0.19084146900144341,37.490662671779255
2023-24,203914,Gary Harris,5306,18.314906518221314,0.3452,0.27,18.314906518221314,0.4885191461821689,37.490662671779255
2023-24,1629640,Keldon Johnson,8624,26.679933429355806,0.3094,0.26,26.679933429355806,0.7116420870692924,37.490662671779255
2023-24,1630194,Paul Reed,6401,20.727895651360562,0.3238,0.26,20.727895651360562,0.5528815490093562,37.490662671779255
2023-24,1630695,Micah Potter,749,5.760133965042446,0.769,0.25,5.760133965042446,0.15364182851263208,37.490662671779255
2023-24,1630552,Jalen Johnson,8034,23.32392781874586,0.2903,0.24,23.32392781874586,0.6221263151025264,37.490662671779255
2023-24,1628379,Luke Kennard,4059,13.674108851698884,0.3369,0.24,13.674108851698884,0.3647337197374199,37.490662671779255
2023-24,1631217,Moussa Diabate,248,4.413799214061681,1.7798,0.24,4.413799214061681,0.11773062676174373,37.490662671779255
2023-24,203084,Harrison Barnes,9811,26.630864542580657,0.2714,0.23,26.630864542580657,0.7103332575293952,37.490662671779255
2023-24,1630678,Terry Taylor,752,5.469361457761733,0.7273,0.23,5.469361457761733,0.14588596381036345,37.490662671779255
2023-24,1630215,Jared Butler,2364,8.923558264571392,0.3775,0.23,8.923558264571392,0.23802081981571688,37.490662671779255
2023-24,1629020,Jarred Vanderbilt,2461,9.11445530202735,0.3704,0.22,9.11445530202735,0.24311267532990744,37.490662671779255
2023-24,1630259,Jordan Ford,85,3.4950812004214775,4.1119,0.21,3.4950812004214775,0.0932253780366589,37.490662671779255
2023-24,1629022,Lonnie Walker IV,4207,11.740269338618758,0.2791,0.2,11.740269338618758,0.31315182239913125,37.490662671779255
2023-24,1630200,Tre Jones,8989,21.376160427101546,0.2378,0.2,21.376160427101546,0.5701729151667476,37.490662671779255
2023-24,1627788,Furkan Korkmaz,1275,5.534198694827766,0.4341,0.19,5.534198694827766,0.14761538741734703,37.490662671779255
2023-24,1641766,Adama Sanogo,270,3.5829176437194286,1.327,0.19,3.5829176437194286,0.09556826655978093,37.490662671779255
2023-24,1629670,Jordan Nwora,3032,8.868122434820817,0.2925,0.19,8.868122434820817,0.23654216284355553,37.490662671779255
2023-24,1631170,Jaime Jaquez Jr.,8519,19.125272590212454,0.2245,0.19,19.125272590212454,0.5101342901737723,37.490662671779255
2023-24,201569,Eric Gordon,7760,17.63180070872135,0.2272,0.19,17.63180070872135,0.4702984543933795,37.490662671779255
2023-24,1630561,David Duke Jr.,217,3.3090688328076276,1.5249,0.18,3.3090688328076276,0.08826381282661344,37.490662671779255
2023-24,1629002,Chimezie Metu,3601,9.4704313115891,0.263,0.18,9.4704313115891,0.25260773314412177,37.490662671779255
2023-24,203897,Zach LaVine,3539,8.994287519244867,0.2541,0.18,8.994287519244867,0.23990740302425312,37.490662671779255
2023-24,1629603,Mamadi Diakite,99,2.847582156502493,2.8763,0.17,2.847582156502493,0.07595443648015279,37.490662671779255
2023-24,1631243,Mouhamed Gueye,308,3.1962856256045886,1.0378,0.17,3.1962856256045886,0.08525551158130269,37.490662671779255
2023-24,203078,Bradley Beal,7258,14.656031196498326,0.2019,0.17,14.656031196498326,0.3909248370669776,37.490662671779255
2023-24,1631221,Collin Gillespie,917,4.136093254185526,0.451,0.16,4.136093254185526,0.11032329010548356,37.490662671779255
2023-24,1626168,Trey Lyles,4884,10.516681226704458,0.2153,0.16,10.516681226704458,0.2805146795823588,37.490662671779255
2023-24,1629652,Luguentz Dort,9470,17.815900206221016,0.1881,0.16,17.815900206221016,0.4752089970293261,37.490662671779255
2023-24,1641809,Drew Peterson,96,2.650966250442258,2.7614,0.16,2.650966250442258,0.07071003982113519,37.490662671779255
2023-24,1630929,Henri Drell,121,2.6754593412338807,2.2111,0.16,2.6754593412338807,0.07136335158054721,37.490662671779255
2023-24,1641709,Ausar Thompson,6573,12.498743319426591,0.1902,0.15,12.498743319426591,0.33338283264955204,37.490662671779255
2023-24,1631107,Nikola Jovic,3605,7.751092802639245,0.215,0.15,7.751092802639245,0.20674728719782826,37.490662671779255
2023-24,1630562,Matt Hurt,452,2.9009327719964166,0.6418,0.14,2.9009327719964166,0.07737747388978714,37.490662671779255
2023-24,1630346,Matt Ryan,1667,4.5353168620703785,0.2721,0.14,4.5353168620703785,0.12097190443860295,37.490662671779255
2023-24,1627749,Dejounte Murray,11683,17.989714017143942,0.154,0.14,17.989714017143942,0.4798451863771811,37.490662671779255
2023-24,1630643,Jay Huff,215,2.385717555195668,1.1096,0.13,2.385717555195668,0.06363497962364625,37.490662671779255
2023-24,1631216,Caleb Houstan,3264,6.389500050730172,0.1958,0.13,6.389500050730172,0.17042910408569034,37.490662671779255
2023-24,1631116,Patrick Baldwin Jr.,2146,4.822544391178426,0.2247,0.13,4.822544391178426,0.1286332128455161,37.490662671779255
2023-24,1628424,Kobi Simmons,271,2.3843621249750773,0.8798,0.13,2.3843621249750773,0.06359882581563125,37.490662671779255
2023-24,1629647,Darius Bazley,615,2.7140754857205747,0.4413,0.12,2.7140754857205747,0.07239337190386794,37.490662671779255
2023-24,1631197,Jared Rhoden,969,3.1095244025184536,0.3209,0.12,3.1095244025184536,0.08294130273827138,37.490662671779255
2023-24,1628415,Dillon Brooks,9187,12.22679223789019,0.1331,0.11,12.22679223789019,0.32612899763689146,37.490662671779255
2023-24,1627745,Damian Jones,1038,2.9348986346178942,0.2827,0.11,2.9348986346178942,0.07828345581170833,37.490662671779255
